customer_id,first_name,city,age,gender,loyalty_tier,signup_date
1000,Customer_0,Alexandria,27,M,Bronze,2018-01-01
1001,Customer_1,Alexandria,34,F,Gold,2018-01-01
1002,Customer_2,Luxor,23,M,Silver,2018-01-01
1003,Customer_3,Luxor,25,M,Silver,2018-01-01
1004,Customer_4,Cairo,39,M,Silver,2018-01-01
1005,Customer_5,Giza,42,F,Bronze,2018-01-01
1006,Customer_6,Luxor,33,F,Bronze,2018-01-01
1007,Customer_7,Alexandria,50,F,Silver,2018-01-01
1008,Customer_8,Alexandria,37,F,Bronze,2018-01-01
1009,Customer_9,Luxor,35,M,Silver,2018-01-01
1010,Customer_10,Luxor,18,F,Bronze,2018-01-01
1011,Customer_11,Cairo,35,M,Bronze,2018-01-01
1012,Customer_12,Giza,54,F,Bronze,2018-01-01
1013,Customer_13,Luxor,52,F,Silver,2018-01-01
1014,Customer_14,Luxor,25,F,Silver,2018-01-01
1015,Customer_15,Giza,50,M,Silver,2018-01-01
1016,Customer_16,Cairo,31,M,Silver,2018-01-01
1017,Customer_17,Alexandria,65,F,Bronze,2018-01-01
1018,Customer_18,Cairo,57,M,Gold,2018-01-01
1019,Customer_19,Giza,24,M,Bronze,2018-01-01
1020,Customer_20,Luxor,64,M,Silver,2018-01-01
1021,Customer_21,Giza,22,M,Bronze,2018-01-01
1022,Customer_22,Alexandria,40,F,Bronze,2018-01-01
1023,Customer_23,Alexandria,62,F,Silver,2018-01-01
1024,Customer_24,Alexandria,53,F,Silver,2018-01-02
1025,Customer_25,Giza,33,F,Bronze,2018-01-02
1026,Customer_26,Luxor,33,M,Silver,2018-01-02
1027,Customer_27,Cairo,26,F,Bronze,2018-01-02
1028,Customer_28,Giza,37,M,Bronze,2018-01-02
1029,Customer_29,Cairo,37,F,Silver,2018-01-02
1030,Customer_30,Luxor,56,M,Gold,2018-01-02
1031,Customer_31,Alexandria,20,F,Bronze,2018-01-02
1032,Customer_32,Alexandria,20,F,Bronze,2018-01-02
1033,Customer_33,Giza,46,M,Bronze,2018-01-02
1034,Customer_34,Giza,24,F,Bronze,2018-01-02
1035,Customer_35,Giza,54,M,Gold,2018-01-02
1036,Customer_36,Alexandria,69,F,Silver,2018-01-02
1037,Customer_37,Cairo,56,F,Bronze,2018-01-02
1038,Customer_38,Giza,32,F,Silver,2018-01-02
1039,Customer_39,Alexandria,52,F,Bronze,2018-01-02
1040,Customer_40,Alexandria,31,F,Bronze,2018-01-02
1041,Customer_41,Luxor,34,F,Bronze,2018-01-02
1042,Customer_42,Giza,27,M,Silver,2018-01-02
1043,Customer_43,Cairo,34,M,Bronze,2018-01-02
1044,Customer_44,Giza,20,M,Silver,2018-01-02
1045,Customer_45,Cairo,52,M,Bronze,2018-01-02
1046,Customer_46,Giza,60,F,Bronze,2018-01-02
1047,Customer_47,Giza,28,F,Bronze,2018-01-02
1048,Customer_48,Luxor,56,M,Gold,2018-01-03
1049,Customer_49,Alexandria,25,F,Bronze,2018-01-03
1050,Customer_50,Giza,29,F,Gold,2018-01-03
1051,Customer_51,Alexandria,49,M,Silver,2018-01-03
1052,Customer_52,Luxor,53,F,Bronze,2018-01-03
1053,Customer_53,Giza,33,M,Gold,2018-01-03
1054,Customer_54,Cairo,44,F,Silver,2018-01-03
1055,Customer_55,Alexandria,21,M,Bronze,2018-01-03
1056,Customer_56,Luxor,42,F,Gold,2018-01-03
1057,Customer_57,Alexandria,22,F,Gold,2018-01-03
1058,Customer_58,Luxor,57,F,Silver,2018-01-03
1059,Customer_59,Alexandria,66,M,Silver,2018-01-03
